선수명,포지션,수비 승리 기여도,년도,순위,팀명,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
박민우,2루수,1.426,2023,2.0,NC,114,108,874 2/3,15,0,196,264,56,0.968,0,0,0,-
김주원,유격수,0.704,2023,1.0,NC,127,122,1030,29,0,177,313,67,0.944,0,0,0,-
서호철,3루수,0.701,2023,3.0,NC,96,78,690,10,0,66,133,19,0.952,0,0,0,-
김형준,포수,0.616,2023,33.0,NC,24,19,180,2,0,160,7,1,0.988,0,10,3,23.1
서호철,2루수,0.343,2023,26.0,NC,30,23,190 2/3,4,0,44,64,19,0.964,0,0,0,-
도태훈,3루수,0.321,2023,18.0,NC,56,36,347 2/3,3,0,26,62,7,0.967,0,0,0,-
한석현,좌익수,0.311,2023,37.0,NC,20,6,77,0,0,20,0,0,1.0,0,0,0,-
김한별,유격수,0.308,2023,20.0,NC,47,22,232 1/3,3,0,24,74,14,0.97,0,0,0,-
천재환,좌익수,0.302,2023,43.0,NC,15,2,46,0,0,15,0,0,1.0,0,0,0,-
김성욱,좌익수,0.22,2023,25.0,NC,31,19,167 2/3,0,0,37,0,0,1.0,0,0,0,-
도태훈,1루수,0.215,2023,16.0,NC,59,23,287,1,0,260,19,28,0.996,0,0,0,-
마틴,좌익수,0.19,2023,29.0,NC,29,26,232 1/3,1,0,53,1,1,0.982,0,0,0,-
최정원,2루수,0.176,2023,47.0,NC,11,5,62,0,0,11,23,1,1.0,0,0,0,-
천재환,중견수,0.17,2023,22.0,NC,37,27,259 2/3,0,0,72,2,0,1.0,0,0,0,-
박세혁,포수,0.169,2023,5.0,NC,86,72,620,1,0,524,41,8,0.998,3,50,19,27.5
도태훈,2루수,0.137,2023,40.0,NC,17,7,79 1/3,0,0,26,20,6,1.0,0,0,0,-
박영빈,좌익수,0.088,2023,57.0,NC,6,0,9,0,0,4,0,0,1.0,0,0,0,-
윤형준,1루수,0.085,2023,8.0,NC,74,57,476,4,0,431,35,44,0.991,0,0,0,-
손아섭,우익수,0.076,2023,19.0,NC,49,43,343 1/3,2,0,73,1,1,0.974,0,0,0,-
김한별,2루수,0.069,2023,29.0,NC,29,1,49 2/3,1,0,6,13,0,0.95,0,0,0,-
김성욱,우익수,0.066,2023,21.0,NC,45,5,119 2/3,0,0,23,1,1,1.0,0,0,0,-
박영빈,중견수,0.063,2023,43.0,NC,15,0,25,0,0,8,0,0,1.0,0,0,0,-
최보성,2루수,0.018,2023,74.0,NC,2,0,4,0,0,0,1,1,1.000,0,0,0,-
박한결,좌익수,0.018,2023,62.0,NC,5,1,14,0,0,5,0,0,1.000,0,0,0,-
오장한,우익수,0.016,2023,70.0,NC,3,1,9,0,0,2,0,0,1.000,0,0,0,-
서호철,유격수,0.016,2023,74.0,NC,2,0,4,0,0,1,0,0,1.000,0,0,0,-
권희동,우익수,0.009,2023,55.0,NC,7,4,37,0,0,8,0,0,1.0,0,0,0,-
오태양,중견수,-0.003,2023,65.0,NC,4,1,7,0,0,1,0,0,1.000,0,0,0,-
오장한,좌익수,-0.013,2023,78.0,NC,1,1,8,0,0,2,0,0,1.000,0,0,0,-
김주원,2루수,-0.02,2023,57.0,NC,6,0,15,1,0,10,9,7,0.95,0,0,0,-
손아섭,좌익수,-0.02,2023,51.0,NC,9,9,66 1/3,0,0,16,0,0,1.0,0,0,0,-
조현진,유격수,-0.048,2023,55.0,NC,7,0,13,0,0,1,4,1,1.0,0,0,0,-
박주찬,3루수,-0.063,2023,70.0,NC,3,3,24,1,0,1,3,0,0.800,0,0,0,-
최보성,1루수,-0.078,2023,65.0,NC,4,1,13,0,0,11,0,1,1.000,0,0,0,-
박석민,1루수,-0.081,2023,74.0,NC,2,2,8,1,0,8,0,1,0.889,0,0,0,-
박주찬,1루수,-0.087,2023,70.0,NC,3,0,11,0,0,7,0,0,1.000,0,0,0,-
한석현,중견수,-0.095,2023,51.0,NC,9,7,68 2/3,2,0,24,0,0,0.923,0,0,0,-
최보성,3루수,-0.106,2023,57.0,NC,6,3,27,1,0,1,4,0,0.833,0,0,0,-
박대온,포수,-0.116,2023,33.0,NC,24,3,69 2/3,3,0,64,4,1,0.958,0,4,2,33.3
최정원,중견수,-0.118,2023,46.0,NC,12,4,43 1/3,0,0,10,0,0,1.0,0,0,0,-
김수윤,3루수,-0.136,2023,51.0,NC,9,3,29,1,0,7,3,1,0.909,0,0,0,-
김한별,3루수,-0.149,2023,65.0,NC,4,0,7 2/3,1,0,2,0,0,0.667,0,0,0,-
박건우,중견수,-0.152,2023,57.0,NC,6,5,41 2/3,0,0,14,0,0,1.0,0,0,0,-
오영수,1루수,-0.159,2023,11.0,NC,66,61,482,8,0,417,25,35,0.982,0,0,0,-
오태양,2루수,-0.197,2023,62.0,NC,5,0,5,1,0,0,2,1,0.667,0,0,0,-
천재환,우익수,-0.237,2023,26.0,NC,30,4,85 1/3,0,0,14,1,0,1.0,0,0,0,-
마틴,중견수,-0.354,2023,7.0,NC,84,82,681 2/3,2,0,187,0,0,0.989,0,0,0,-
김성욱,중견수,-0.469,2023,32.0,NC,26,17,154 1/3,0,0,38,0,0,1.0,0,0,0,-
박석민,3루수,-0.497,2023,36.0,NC,23,21,156,2,0,11,22,4,0.943,0,0,0,-
박건우,우익수,-0.55,2023,4.0,NC,87,87,686,0,0,133,3,0,1.0,0,0,0,-
안중열,포수,-0.675,2023,8.0,NC,74,50,411 2/3,5,1,373,21,2,0.987,4,32,10,23.8
권희동,좌익수,-0.725,2023,6.0,NC,85,80,660,2,0,153,2,0,0.987,0,0,0,-
도태훈,유격수,,2023,78.0,NC,1,0,2,0,0,1,1,1,1.000,0,0,0,-
조현진,2루수,,2023,78.0,NC,1,0,1,0,0,0,1,0,1.000,0,0,0,-
최정원,좌익수,,2023,78.0,NC,1,0,1,0,0,1,0,0,1.000,0,0,0,-
김수윤,1루수,,2023,65.0,NC,4,0,4 1/3,0,0,7,0,0,1.000,0,0,0,-
